n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
4	2.625905	0.9013656	0	3.4641	0	0	1.4142	2	2.6458	2.8284	3	3	3.1623	3.1623	3.4641	3.4641	3.4641
5	4.539367	1.054668	0	6.3246	2	2.8284	3.1623	3.7417	4.1231	4.5826	4.7958	5	5.099	5.3852	5.6569	5.831	5.9161
6	6.632059	1.358919	0	9.798	3.4641	4.3589	4.7958	5.4772	5.9161	6.3246	6.7823	7.2111	7.5498	7.8102	8.2462	8.6023	8.7178
7	8.810762	1.663525	3.4641	13.4907	5.2915	6	6.6332	7.4162	7.9373	8.3666	8.8318	9.3274	9.8489	10.3441	10.9087	11.3578	11.619
8	11.19515	2.256467	4.899	16.8226	6.4807	7.6158	8.2462	9.1104	9.9499	10.5357	11.225	11.7898	12.6095	13.3417	14.2829	14.6629	14.9332
9	13.82711	2.712984	6.1644	19.9499	8.8882	9.5394	10.4403	11.4018	12.1244	12.9228	13.7113	14.4914	15.2643	16.2481	17.6068	18.6011	19
10	16.4817	3.146331	8.7178	25.5734	10.198	11.4018	12.3693	13.7113	14.7309	15.4919	16.4012	17.2916	18.2209	19.2354	20.6398	22.0227	22.5389
11	19.71031	3.841949	9.5394	30.4631	12.53	13.6748	14.8324	16.2481	17.4642	18.6011	19.4679	20.7123	21.6795	23.1084	24.9399	26.1151	27.2764
12	22.68364	4.437469	12.083	35.7071	14.8997	15.9687	17.0294	18.8414	20.0499	21.2368	22.2935	23.5797	24.8797	26.3629	28.5307	30.6431	31.7962
13	25.76712	5.127263	13.8924	40.6202	16.9115	18.0831	19.3907	21.1187	22.8035	23.9165	25.318	26.6646	28.3196	30.1496	32.8481	35.2562	36.4692
14	29.46928	5.940343	15.906	49.3356	18.9737	20.8087	21.8861	24.1868	25.9037	27.3496	29.0345	30.6431	32.5883	34.4964	37.6431	39.8873	41.1947
15	32.83857	6.783528	16.6433	53.647	20.8806	22.5389	24.2693	26.533	28.8271	30.7571	32.45	34.1321	35.9166	38.8716	41.8569	44.9222	46.6905
16	36.06791	7.15135	20.7123	56.8067	23.388	24.9399	26.9629	29.5466	31.9061	33.8674	35.609	37.5766	39.6106	42.1782	45.618	49.2443	50.5569
17	40.16565	8.290651	22.0907	73.4575	26.2488	28.0535	29.9833	32.5269	35.0428	37.0675	39.4588	41.8569	44.4747	47.0956	50.8134	54.6809	57.8705
18	44.02842	9.194052	24.9199	74.8131	28.6705	30.9516	32.9545	35.7631	38.2361	40.6817	43.0349	45.3542	48.4871	52	56.3028	60.2827	62.9047
19	47.94035	10.17917	24.8193	82.7224	30.0333	33.1813	35.3553	39.0896	41.7971	44.4635	47.0425	49.7293	52.7636	56.4181	60.8358	65.8103	69.2026
20	53.00068	11.50118	28.4077	94.4775	33.8674	36.2353	39.37	42.638	45.7384	48.6004	51.4782	54.9545	58.9067	63.111	68.3593	72.9589	75.9605
21	56.41014	12.13748	32.8481	107.5686	35.8608	39.1663	41.3884	45.7384	49.1528	52.1057	55.0818	58.3866	62.3298	66.7608	72.7393	77.3886	80.9506
22	61.3766	13.51748	30.8058	117.6095	39.2301	41.8688	44.7772	49.7192	53.1789	56.2583	59.607	63.1823	67.8086	72.9863	79.4103	85.703	90.3383
23	66.11386	14.23269	36.0139	117.5925	41.9047	45.3982	48.1041	53.8888	57.7148	60.9426	64.436	68.9275	72.9589	77.5693	85.4459	92.1412	95.0947
24	70.40238	14.36129	41.7852	123.4625	45.0222	48.3218	53.0189	57.8792	61.5955	65.5591	68.971	72.6085	76.9935	82.3893	90.5815	95.0947	98.2395
25	74.43223	16.41611	34.7275	142.769	46.7654	50.7642	54.6992	60.1498	64.7997	68.9565	72.7668	76.8115	81.7251	87.6071	94.6731	103.8749	110.227
26	79.91752	17.53556	42.9069	160.9348	50.3885	53.9166	57.8273	64.5291	69.1448	73.7699	78.7401	83.0361	88.0852	95.3834	103.6581	110.621	114.3503
27	85.27309	19.39325	44.8219	148.2296	54.1756	58.7112	62.1611	67.5944	73.4507	77.8524	82.8432	87.8521	93.6536	101.2275	111.8123	120.1083	128.4874
28	89.95212	20.1765	47.0638	170.3878	55.6687	59.4811	64.8768	72.0555	77.9102	83.3307	88.7074	93.1128	98.8686	105.622	117.6903	126.9803	132.9925
29	95.61572	21.42621	50.2792	181.7773	60.6383	64.8305	69.9285	76.5963	81.8963	87.046	93.3327	99.3982	105.0381	113.6222	125.3435	134.759	140.2462
30	100.1207	22.20481	52.4595	174.1982	61.1065	68.2056	72.9383	80.7465	86.9368	92.3851	97.8417	102.7278	110.4038	118.4314	130.8816	142.8076	147.2651
31	105.62	24.05067	53.301	193.8195	65.9242	71.3302	76.2627	84.4334	90.1721	96.9484	103.0582	110.1771	115.5941	126.1309	139.1151	149.4021	154.5995
32	111.9444	24.44441	57.9569	203.4748	71.4073	77.0584	82.1401	90.3216	96.8143	103.0776	108.7888	116.1163	124.2658	132.5594	144.0937	155.3126	162.4561
33	116.3989	26.19626	57.5587	222.9798	72.3809	77.9936	83.9285	93.6483	100	106.7942	114.3503	121.7908	128.2459	137.1131	152.4697	161.8147	171.6304
34	122.3778	28.55125	59.4727	221.321	77.0714	83.2526	88.5325	97.4372	104.2641	111.4092	118.7224	126.0476	135.7166	145.4441	160.658	177.0734	186.4001
35	128.2198	30.53623	62.2415	248.9257	75.8024	84.8057	92.228	103.1601	110.4989	117.0897	123.3369	131.164	141.9401	152.0493	169.3045	184.7052	197.0939
36	133.9932	32.02107	68.3081	287.2647	80.635	89.4204	95.7445	106.1791	114.9391	122.5112	130.6407	139.1941	147.8817	158.3824	176.1164	191.0864	201.6928
37	141.9982	32.22393	71.0634	284.1338	88.0965	95.6295	102.0147	114.0877	122.8902	130.2728	139.4561	147.0918	157.7625	168.855	185.8333	198.3406	207.1931
38	144.5814	33.50942	74.8599	282.1294	87.7667	95.8593	104.6805	115.5032	124.3744	132.1552	141.5168	150.8343	158.9937	171.9011	188.4781	201.4895	217.72
39	152.4162	35.29941	82.2496	306.0719	94.4405	104.6518	110.7384	121.8524	130.4761	138.9208	149.4055	157.3054	166.8922	180.3358	199.2938	213.4057	224.9133
40	159.2006	38.62888	83.1324	301.6538	97.1442	106.3438	114.2716	125.6503	135.9522	145.6915	154.159	164.0518	174.6454	187.2111	209.6426	231.7693	249.0261
