n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
4	2.666062	0.7679445	0	3.4641	0	1.4142	1.4142	2	2.6458	2.8284	3	3	3.1623	3.1623	3.4641	3.4641	3.4641
5	4.479851	1.091872	0	6.3246	2	2.8284	3	3.4641	4	4.4721	4.7958	5	5.1962	5.3852	5.6569	5.9161	5.9161
6	6.535623	1.388008	1.4142	9.5917	3.4641	4	4.6904	5.2915	5.831	6.245	6.6332	7.0711	7.4162	7.746	8.124	8.6023	8.9443
7	8.674259	1.73935	0	13.5647	4.899	5.7446	6.4031	7.2111	7.746	8.2462	8.7178	9.1104	9.6954	10.247	10.9545	11.3578	11.5758
8	10.85242	2.107719	4	18.1384	6.4031	7.4162	8.124	9	9.7468	10.247	10.8167	11.4018	11.9583	12.6886	13.7113	14.4222	14.7309
9	13.36723	2.6283	5.1962	20.9762	8.2462	9.0554	9.8489	11.0905	11.9583	12.6491	13.3791	14.0357	14.7309	15.5885	16.8819	17.6918	18.1659
10	15.72286	3.060404	7.2801	24.3105	9.9499	10.9545	11.7047	13.0767	14.0357	14.8661	15.5563	16.4012	17.2627	18.303	19.799	21.095	21.9089
11	18.32709	3.519412	10.3923	29.4279	11.5326	12.5698	13.9284	15.1987	16.3095	17.3781	18.1934	19.1311	20.1494	21.3073	22.9783	24.4745	25.3772
12	20.84988	3.987381	10	33.541	13.2665	14.6287	15.6844	17.2916	18.4932	19.6214	20.8567	21.8174	22.9129	24	26.0384	27.9285	28.9655
13	23.40583	4.359155	12.2066	37.6563	15.2315	16.4924	17.8045	19.6977	20.9762	22.2036	23.1948	24.2899	25.4951	26.9815	29.0345	31.1769	32.4191
14	26.42809	5.078671	14	45.4203	17.5784	18.9209	20.0499	22.0454	23.3452	24.6982	26.0192	27.3679	28.8964	30.5778	33.0908	35.1568	37.0945
15	29.01114	5.604201	16.1555	50.8822	18.868	20.6155	22.2036	24.1868	25.6125	27.1109	28.4956	29.9333	31.7017	33.7343	36.6606	38.3667	40.4722
16	31.89872	6.229914	16.5227	57.7495	20.664	22.383	24.3105	26.6458	28.1069	29.6648	31.241	33.1059	35.1283	37.2022	39.8623	42.9185	44.5197
17	34.85549	6.496918	19.9249	59.8832	22.8692	24.454	26.5895	29.1376	31.1609	32.665	34.3074	36.3043	38.2492	40.3113	43.6463	45.8694	47.697
18	38.09861	7.160904	21.5639	67.8675	25.6515	27.3679	29.3939	31.5278	33.8083	35.6931	37.5633	39.5727	41.4246	44	47.8435	50.8035	52.9717
19	41.08892	7.972348	22.6274	70.3136	26.8328	29.4958	31.289	34.0147	36.4143	38.4578	40.4722	42.6146	44.6542	47.8748	52.0096	54.6077	57.5847
20	43.26988	8.249744	23	80.827	28.688	30.315	33.1964	36.2629	38.5746	40.5216	42.7317	44.7214	46.7654	49.6488	54.1295	57.7841	60.8112
21	46.43442	8.910734	25.1197	83.1384	30.5941	32.7414	35.8329	38.6264	41.2311	43.5086	45.6399	47.7807	50.4876	53.6097	58.4808	62.6418	65.3452
22	49.64915	9.284387	29.7993	84.1309	32.9242	35.3553	38.092	41.7253	44.4072	46.8081	49.0918	51.4004	53.647	57	61.6685	65.7723	68.1029
23	52.93612	10.41536	28.5132	102.0931	35.8608	37.5366	40.4846	44.1588	46.9255	49.3052	51.9038	54.1018	57.5152	61.4003	66.6183	70.7107	74.7061
24	55.756	11.32093	32.4962	107.6104	36.7151	39.6106	42.2966	46.0869	48.8774	51.788	54.7083	57.4108	60.5805	64.5368	70.0214	76.1052	80.7341
25	58.32623	11.55942	32.6956	102.2546	38.1051	42.3202	44.9889	48.2286	51.5946	54.1849	56.9122	59.9166	62.7455	67.3721	73.9392	79.2086	83.3727
26	62.23341	12.10785	37.55	111.781	42.5676	44.7661	48	51.6624	55.1181	57.9741	60.7124	63.7103	67.2978	72.118	79.1265	83.4026	88.3912
27	64.84938	13.11154	37.6165	115.646	42.4028	45.4533	48.9081	53.4041	56.9912	60.597	64.1639	67.0969	70.2922	74.9933	82.3347	88.4647	91.6897
28	68.41724	13.33169	40.4969	116.2927	46.2385	49.2443	52.469	57.3236	60.6053	63.773	66.8805	70.0214	74.081	79.0253	86.6487	92.1412	96.9381
29	72.18252	14.63754	43.0813	151.5388	49.0816	52.1249	55.0182	59.4727	63.498	66.7907	70.3349	74.135	77.6788	83.006	92.7739	99.1867	104.2209
30	75.55498	14.99987	38.8458	145.7155	50.309	53.963	57.9655	62.9841	66.9179	70.5408	73.5731	77.55	81.7802	87.6812	95.7027	103.6774	107.1214
31	78.49849	15.30993	47.0956	151.41	52.4595	57.1314	61.2781	65.4675	69.2892	72.6911	75.9539	79.7935	84.5044	90.1665	100.2397	107.1588	113.2299
32	82.06074	16.63704	44.2041	142.0106	54.2955	59.1861	62.153	68.5857	72.6292	75.8222	79.5676	83.9047	88.295	94.9368	105.157	113.9517	118.5917
33	85.15029	16.79721	44.4072	158.9497	57.6715	61.2944	65.5973	70.8943	74.8799	79.2717	83.4925	87.51	91.8695	98.2802	108.185	115.0478	120.7725
34	88.1285	17.32153	48.0416	173.8908	60.1581	64.7225	68.2422	73.885	78.3518	82.2071	85.4459	89.6883	94.3928	100.2148	109.7816	122.0123	129.611
35	91.69642	17.7034	48.3115	168.1131	61.3759	66.0606	70.3776	76.3741	81.4678	85.5745	89.8554	94.4934	99.5389	105.8064	115.1911	123.2437	129.0426
36	95.3736	19.41506	51.8073	171.6013	63.8592	67.6387	72.5603	79.0822	83.9762	88.3063	92.3742	96.8143	102.45	110.1953	122.4337	132.4236	139.1726
37	98.35929	20.62804	55.5428	191.7185	65.146	70.8449	75.0866	81.0925	86.5332	91.444	95.551	99.7747	105.7544	111.9732	122.9675	138.2751	150.5357
38	101.2875	20.04584	58.8303	201.7796	67.6166	71.8401	77.2981	83.9821	89.398	93.8723	98.5343	103.8316	110.1681	118.7308	128.5418	137.7026	141.3683
39	105.4652	21.42997	55.857	200.8955	70.0999	75.213	81.3081	87.4357	92.6661	97.2471	102.6158	107.7868	114.1227	122.1147	133.9851	145.2549	150.4892
40	107.6614	21.71325	59.5987	212.1697	70.8943	77.8781	83.3607	89.4371	94.4405	99.373	105.1475	110.0863	116.3572	123.6568	135.8124	147.9189	153.258
41	111.8641	22.21812	62.9603	222.2409	76.2496	81.1172	86.3655	93.2899	98.1631	103.9327	108.8301	113.82	121.0454	129.0581	141.4567	153.4177	159.9437
42	114.5086	22.63527	63.9766	221.849	75.7562	81.9024	88.3346	95.1893	100.9059	107	112.2052	117.3499	124.0524	132.4613	143.2236	154.2109	163.4381
43	119.4876	24.87409	65.9924	230.4062	78.7845	84.841	90.7524	98.9899	104.561	110.3449	116.2153	122.1229	129.3754	138.4919	153.548	165.8674	172.0494
