No	RefTree	Tree	MatchingPair	Triples
1	1	1	0.0000	0.0000
2	1	2	66.0000	243.0000
3	1	3	67.0000	297.0000
4	1	4	67.0000	294.0000
5	1	5	68.0000	296.0000
6	2	1	66.0000	243.0000
7	2	2	0.0000	0.0000
8	2	3	54.0000	242.0000
9	2	4	55.0000	245.0000
10	2	5	55.0000	235.0000
11	3	1	67.0000	297.0000
12	3	2	54.0000	242.0000
13	3	3	0.0000	0.0000
14	3	4	1.0000	3.0000
15	3	5	8.0000	13.0000
16	4	1	67.0000	294.0000
17	4	2	55.0000	245.0000
18	4	3	1.0000	3.0000
19	4	4	0.0000	0.0000
20	4	5	7.0000	10.0000
21	5	1	68.0000	296.0000
22	5	2	55.0000	235.0000
23	5	3	8.0000	13.0000
24	5	4	7.0000	10.0000
25	5	5	0.0000	0.0000
